Item,Binomial (Alphabetical),WordA,WordB,Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Filename Prime (alphabetical) ,Filename Prime (nonalphabetical),Filename Prime (unrelated),Questions,Answer
1,arms and legs,arms,legs,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.,When he gets upset he crosses his arms and legs in a very tense manner.,When he gets upset he crosses his legs and arms in a very tense manner.,"The sun dipped below the horizon, painting the sky in shades of orange and pink.",placeholder,placeholder,placeholder,Did Sandra get into a bike accident?,y
2,arts and crafts,arts,crafts,Lilly enjoys doing arts and crafts to relax when she is stressed.,Lilly enjoys doing crafts and arts to relax when she is stressed.,Arts and crafts are a wonderful way to express creativity through handmade projects.,Crafts and arts are a wonderful way to express creativity through handmade projects.,"She poured herself a steaming cup of coffee, savoring the aroma as it filled the kitchen.",placeholder,placeholder,placeholder,Does Lilly enjoy run when she's stressed?,n
3,arts and sciences,arts,sciences,Jessica couldn't decide between studying arts and sciences at her time in college.,Jessica couldn't decide between studying sciences and arts at her time in  college.,A well-rounded education often includes a balance of arts and sciences.,A well-rounded education often includes a balance of sciences and arts.,"The library was silent, except for the occasional sound of pages turning.",placeholder,placeholder,placeholder,Did Jessica plan on going to college?,y
4,black and white,black,white,Dalmatians found in colors other than black and white are really quite unusual.,Dalmatians found in colors other than white and black are really quite unusual.,"The film is shot entirely in black and white, giving it a timeless quality.","The film is shot entirely in white and black, giving it a timeless quality.","He watched the rain tap against the window, lost in thought.",placeholder,placeholder,placeholder,Do Dalmations usually come in many different colors?,n
5,blood and flesh,blood,flesh,Although Rhonda was not Nick's blood and flesh he considered her family.,Although Rhonda was not Nick's flesh and blood he considered her family.,"The battle left marks of blood and flesh on the ground, a grim reminder of its toll.","The battle left marks of flesh and blood on the ground, a grim reminder of its toll.","With a deep breath, she stepped onto the stage, her heart pounding in her chest.",placeholder,placeholder,placeholder,Did Nick consider Rhonda to be family?,y
6,boys and girls,boys,girls,The teacher separated the boys and girls into two small groups.,The teacher separated the girls and boys into two small groups.,Boys and girls eagerly gathered around the storyteller for an afternoon of tales.,Girls and boys eagerly gathered around the storyteller for an afternoon of tales.,"The mountain trail was steep, but the view from the top made every step worth it.",placeholder,placeholder,placeholder,Did the teacher separate the students into many groups?,n
7,brother and sister,brother,sister,Paul wants to spend time with his brother and sister because they are cool.,Paul wants to spend time with his sister and brother because they are cool.,The brother and sister shared a bond that no distance could weaken.,The sister and brother shared a bond that no distance could weaken.,"The cat curled up on the windowsill, basking in a patch of warm sunlight.",placeholder,placeholder,placeholder,Are Paul's siblings cool?,y
8,brothers and sisters,brothers,sisters,"Andrew shared with his brothers and sisters, so he was excited to have a roomate.","Andrew shared with his sisters and brothers, so he was excited to have a roomate.",I always love seeing my brothers and sisters when I go home for the holidays.,I always love seeing my sisters and brothers when I go home for the holidays.,"They exchanged a knowing glance, each understanding the other's unspoken thoughts.",placeholder,placeholder,placeholder,Does Andrew live alone?,n
9,cause and effect,cause,effect,"Ryan was uncertain about the cause and effect of inflation, so he did some research.","Ryan was uncertain about the effect and cause of inflation, so he did some research.",The gathering was filled with laughter from brothers and sisters catching up after a long time apart.,The gathering was filled with laughter from sisters and brothers catching up after a long time apart.,"She carefully wrapped the gift, tying a red ribbon into a perfect bow.",placeholder,placeholder,placeholder,Did Ryan research about inflation?,y
10,days and nights,days,nights,Finn spent many days and nights working on writing his novel.,Finn spent many nights and days working on writing his novel.,The desert's harshness is evident in the extreme days and nights.,The desert's harshness is evident in the extreme nights and days.,The crowded marketplace buzzed with the sounds of bargaining and laughter.,placeholder,placeholder,placeholder,Did Finn easily write his novel?,n
11,death and life,death,life,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.,"In many cultures, death and life are seen as intertwined parts of a greater cycle.","In many cultures, life and death are seen as intertwined parts of a greater cycle.",The childâ€™s laughter echoed through the park as he chased after a butterfly.,placeholder,placeholder,placeholder,Is it hard to tell one's circumstances in purgatory?,y
12,development and research,development,research,Emily was in development and research but eventually decided to leave.,Emily was in research and development but eventually decided to leave.,Many years of development and research went into the company's new product.,Many years of research and development went into the company's new product.,His suitcase was packed with essentials and a few souvenirs from his last adventure.,placeholder,placeholder,placeholder,Did Emily stay in her field?,n
13,diagnosis and treatment,diagnosis,treatment,Marissa found that her diagnosis and treatment at the hospital were different.,Marissa found that her treatment and diagnosis at the hospital were different.,Swift diagnosis and treatment are crucial for managing serious illnesses effectively.,Swift treatment and diagnosis are crucial for managing serious illnesses effectively.,"The old clock in the hallway struck midnight, its chimes filling the quiet house.",placeholder,placeholder,placeholder,Was Marissa sick?,y
14,error and trial,error,trial,Hal solved the math problem by error and trial because he was lazy.,Hal solved the math problem by trial and error because he was lazy.,Sometimes it feels like trial and error is the only way to learn.,Sometimes it feels like error and trial is the only way to learn.,"The aroma of freshly baked bread drifted from the kitchen, inviting everyone inside.",placeholder,placeholder,placeholder,Was Hal still stuck on the math problem?,n
15,fall and rise,fall,rise,I've gotten particularly ill due to the fall and rise of the big waves.,I've gotten particularly ill due to the rise and fall of the big waves.,The documentary charts the fall and rise of a once-beloved artist.,The documentary charts the rise and fall of a once-beloved artist.,"She gazed out at the ocean, mesmerized by the endless waves crashing against the shore.",placeholder,placeholder,placeholder,Was the narrator sick because of the waves?,y
16,father and son,father,son,Eric enjoys watching movies with his father and son so much that he goes often.,Eric enjoys watching movies with his son and father so much that he goes often.,The bond between father and son grew deeper with each passing year.,The bond between son and father grew deeper with each passing year.,"The dog wagged its tail eagerly, hoping for a treat.",placeholder,placeholder,placeholder,Does Eric hate movies?,n
17,feelings and thoughts,feelings,thoughts,"When Pat gets frustrated, her feelings and thoughts get muddled quite quickly.","When Pat gets frustrated, her thoughts and feelings get muddled quite quickly.",Poetry often tries to capture the subtle interplay of feelings and thoughts.,Poetry often tries to capture the subtle interplay of thoughts and feelings.,"He flipped through the album, each photograph bringing back a flood of memories.",placeholder,placeholder,placeholder,Does get confused when she's frustrated?,y
18,feet and hands,feet,hands,The child's feet and hands slowly grew very numb.,The child's hands and feet slowly grew very numb.,"The dancer moved her feet and hands gracefully, commanding the stage.","The dancer moved her hands and feet gracefully, commanding the stage.",The crisp autumn air was filled with the scent of pine and fallen leaves.,placeholder,placeholder,placeholder,Were the child's limbs fine?,n
19,female and male,female,male,The dog breeder said the female and male puppies are coming today.,The dog breeder said the male and female puppies were coming today.,The study found no significant differences in learning styles between female and male students.,The study found no significant differences in learning styles between male and female students.,"She wrote down her goals in a new journal, determined to make this year different.",placeholder,placeholder,placeholder,Does the dog breeder have puppies coming?,y
20,fruits and vegetables,fruits,vegetables,"Growing up, Paul ate his fruits and vegetables everyday at each meal.","Growing up, Paul ate his vegetables and fruits everyday at each meal.",A healthy diet includes a balance of fruits and vegetables for essential nutrients.,A healthy diet includes a balance of vegetables and fruits for essential nutrients.,"The orchestra's music filled the hall, sending chills down the audience's spines.",placeholder,placeholder,placeholder,Did Paul eat unhealthily growing up?,n
21,gas and oil,gas,oil,Sam didn't know the difference between gas and oil so she ruined her car.,Sam didn't know the difference between oil and gas so she ruined her car.,The economy in this region is heavily dependent on gas and oil production.,The economy in this region is heavily dependent on oil and gas production.,"He sat by the campfire, warming his hands as the stars sparkled above.",placeholder,placeholder,placeholder,Is Sam uneducated about cars?,y
22,gentlemen and ladies,gentlemen,ladies,The hostess in the venue lead the gentlemen and ladies to their respective tables.,The hostess in the venue lead the ladies and gentlemen to their respective tables.,The event was attended by both gentlemen and ladies dressed in elegant attire.,The event was attended by both ladies and gentlemen dressed in elegant attire.,"The snow covered the town in a blanket of white, transforming it into a winter wonderland.",placeholder,placeholder,placeholder,Did the hostess refuse to help the customers?,n
23,god and man,god,man,They discussed the duty of god and man often after school even on Saturdays.,They discussed the duty of man and god often after school even on Saturdays.,The epic story explores the relationship between god and man in a mythical world.,The epic story explores the relationship between man and god in a mythical world.,"She glanced at the map, trying to figure out the quickest route to the beach.",placeholder,placeholder,placeholder,Did the friends discuss relationships?,y
24,goods and services,goods,services,They would not trade goods and services even for a large sum of money.,They would not trade services and goods even for a large sum of money.,The store offers a wide variety of goods and services to meet customer needs.,The store offers a wide variety of services and goods to meet customer needs.,"They toasted to friendship, clinking their glasses in celebration.",placeholder,placeholder,placeholder,Were the village people willing to trade?,n
25,husband and wife,husband,wife,Michelle was surprised to learn that the husband and wife were getting a divorce.,Michelle was surprised to learn that the wife and husband were getting a divorce.,"The couple was too young to be husband and wife, in their parents' opinion.","The couple was too young to be wife and husband, in their parents' opinion.",The old house creaked and groaned with every gust of wind.,placeholder,placeholder,placeholder,Was Michelle surprised by what he learned?,y
26,law and order,law,order,There was a lack of law and order that caused some chaos.,There was a lack of order and law that caused some chaos.,The mayor promised to restore law and order to the troubled neighborhoods.,The mayor promised to restore order and law to the troubled neighborhoods.,"She took a long walk through the city, marveling at the towering skyscrapers.",placeholder,placeholder,placeholder,Was there chaos?,n
27,man and woman,man,woman,He noticed that both the man and woman had green sneakers on.,He noticed that both the woman and man had green sneakers on.,"Both man and woman stood side by side, equal partners in their journey.","Both woman and man stood side by side, equal partners in their journey.","The garden was alive with colors, each flower blooming in the early morning light.",placeholder,placeholder,placeholder,Were the sneakers that were worn green?,y
28,men and officers,men,officers,Nicole didn't know number of men and officers who died during the civil war.,Nicole didn't know the number of officers and men who died during the civil war.,The army camp was bustling with men and officers preparing for the day's drills.,The army camp was bustling with officers and men preparing for the day's drills.,"He reached for the last cookie, only to find that his friend had beaten him to it.",placeholder,placeholder,placeholder,Did Nicole know the number of people who died during the civil war?,n
29,men and women,men,women,Jen thought that the men and women in her dance class were all very talented.,Jen thought that the women and men in her dance class were all very talented.,The disparity between the wages of men and women in the workforce is a major concern for many.,The disparity between the wages of men and women in the workforce is a major concern for many.,"The cafe was cozy, with soft music playing and the smell of fresh pastries in the air.",placeholder,placeholder,placeholder,Were the people in Jen's dance class talented?,y
30,money and time,money,time,The amount of money and time required to fix it made it quite the project.,The amount of time and money required to fix it made it quite the project.,Managing money and time effectively is key to achieving financial goals.,Managing time and money effectively is key to achieving financial goals.,"She wrapped the scarf around her neck, bracing herself against the winter chill.",placeholder,placeholder,placeholder,Was it an easy project?,n
31,mr. and mrs.,mr.,mrs.,The couple call each other mr. and mrs. Smith even though they aren't married.,The couple call each other mrs. and mr. Smith even though they aren't married.,"The invitation was addressed to Mr. and Mrs. Peterson, inviting them to the gala.","The invitation was addressed to Mrs. and Mr. Peterson, inviting them to the gala.","They watched the fireworks explode in the night sky, their faces lit up with excitement.",placeholder,placeholder,placeholder,Is it the case that the couple aren't married?,y
32,north and south,north,south,The family moved north and south a couple of times.,The family moved south and north a couple of times.,The campaign has supporters from both north and south regions.,The campaign has supporters from both south and north regions.,The antique store was filled with treasures from a bygone era.,placeholder,placeholder,placeholder,Did the family stay in the same place?,n
33,pepper and salt,pepper,salt,The food is in need of pepper and salt because it's rather bland.,The food is in need of salt and pepper because it's rather bland.,She added just a pinch of pepper and salt to bring out the flavors of the dish.,She added just a pinch of salt and pepper to bring out the flavors of the dish.,"The dog barked at the mailman every day, as if it were his sworn duty.",placeholder,placeholder,placeholder,Is the food bland?,y
34,place and time,place,time,Finding a place and time for the meeting was very difficult.,Finding a time and place for the meeting was very difficult.,Success in art depends on the right combination of place and time.,Success in art depends on the right combination of time and place.,"A gentle breeze rustled the leaves, carrying the scent of jasmine through the air.",placeholder,placeholder,placeholder,Was it easy to plan the meeting?,n
